time="2021-11-25 13:02:24.890" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:25.197" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:25.421" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:25.709" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:25.931" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:26.157" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:26.425" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:26.733" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:02:27.039" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0404not found" func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:06.846" level=info msg="max deal id last scanned:0" func=GetDealFromCalibration file="deal.go:27"
time="2021-11-25 13:03:08.208" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:08.512" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:08.819" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:09.126" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:09.433" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:09.740" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:10.048" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
time="2021-11-25 13:03:11.481" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal/0,404,not found," func=GetDealFromCalibration file="deal.go:41"
